Node, x_pos, y_pos, target_x, target_y
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -3.17889, 31.1277, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, -1.18741, 30.9433, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, 0.804071, 30.7589, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, 2.79555, 30.5745, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, 4.78703, 30.3901, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
0, 9, -31, 9, -31
1, -32, 0, -32, 0
2, 30, 9, 30, 9
3, 25, -19, 25, -19
4, -31, 9, -31, 9
5, -10, 30, -10, 30
6, 18, -26, 18, -26
7, 6.77852, 30.2057, 9, 30
8, 25, 18, 25, 18
9, -19, -26, -19, -26
10, -10, -31, -10, -31
11, 18, 25, 18, 25
12, -26, 18, -26, 18
13, -31, -10, -31, -10
14, 31, 0, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -19, -26, -19
18, 30, -10, 30, -10
19, 0, 31, 0, 31
